Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,Fertilizer Usage (kg/ha)
30.0,60.0,29.0,Red,Ground Nuts,41,0,0,Urea,64.52455598750599
33.0,64.0,51.0,Sandy,Maize,5,9,29,Gromor(14:35:14),69.23359958419533
34.0,65.0,31.0,Red,Tobacco,23,0,21,Gromor(28:28),75.03154453635099
36.0,68.0,33.0,Black,Oil seeds,13,0,14,Gromor(20:20:0:13),75.96638871257977
28.0,54.0,38.0,Clayey,Pulses,40,0,0,Urea,81.8668677930714
30.0,60.0,47.0,Sandy,Barley,12,0,42,DAP,72.5084240160986
31.0,62.0,63.0,Red,Cotton,11,12,15,N-P-K(17:17:17),75.76101014338232
27.0,53.0,43.0,Black,Millets,23,0,24,Gromor(28:28),59.52785076108087
34.0,65.0,54.0,Loamy,Wheat,38,0,0,Urea,99.10742492098639
29.0,58.0,37.0,Sandy,Millets,8,0,15,Gromor(20:20:0:13),60.115719932559784
25.0,50.0,56.0,Loamy,Sugarcane,11,13,15,N-P-K(17:17:17),89.4838740792764
32.0,62.0,34.0,Red,Ground Nuts,15,0,37,DAP,57.05613213302399
28.0,54.0,41.0,Clayey,Paddy,36,0,0,Urea,108.51335355497065
30.0,60.0,49.0,Loamy,Wheat,13,0,9,Gromor(20:20:0:13),83.89823464052647
34.0,65.0,64.0,Black,Cotton,24,0,20,Gromor(28:28),90.75993745188217
28.0,54.0,47.0,Sandy,Barley,5,18,15,Gromor(10:26:26),51.40271083416438
27.0,53.0,35.0,Black,Oil seeds,37,0,0,Urea,70.21624026534496
36.0,68.0,62.0,Red,Cotton,15,0,40,DAP,83.32293286523226
34.0,65.0,57.0,Black,Sugarcane,9,0,13,Gromor(20:20:0:13),107.38410376333059
29.0,58.0,55.0,Loamy,Sugarcane,8,8,33,Gromor(14:35:14),91.66300166560507
25.0,50.0,40.0,Clayey,Pulses,6,19,16,Gromor(10:26:26),55.15000871466832
30.0,60.0,38.0,Sandy,Millets,10,0,14,Gromor(20:20:0:13),57.23759155642604
26.0,52.0,39.0,Clayey,Pulses,21,0,23,Gromor(28:28),65.44190084886728
31.0,62.0,32.0,Red,Tobacco,39,0,0,Urea,84.7901911622117
34.0,65.0,48.0,Loamy,Wheat,23,0,19,Gromor(28:28),74.6063101605485
27.0,53.0,34.0,Black,Oil seeds,42,0,0,Urea,71.10785362031821
33.0,64.0,31.0,Red,Ground Nuts,13,0,39,DAP,59.20076749653227
29.0,58.0,42.0,Clayey,Paddy,9,10,22,Gromor(14:35:14),102.08557986652363
30.0,60.0,47.0,Sandy,Maize,22,0,21,Gromor(28:28),66.0750542544414
27.0,53.0,59.0,Loamy,Sugarcane,10,0,15,Gromor(20:20:0:13),103.40068896497606
26.0,52.0,36.0,Clayey,Pulses,7,16,20,Gromor(10:26:26),58.223690044021154
34.0,65.0,63.0,Red,Cotton,14,0,38,DAP,97.40751793318458
28.0,54.0,43.0,Clayey,Paddy,10,8,29,Gromor(14:35:14),83.73787100726685
30.0,60.0,40.0,Sandy,Millets,41,0,0,Urea,72.75436337726849
29.0,58.0,65.0,Black,Cotton,14,0,35,DAP,94.09075737478186
26.0,52.0,59.0,Loamy,Sugarcane,11,0,9,Gromor(20:20:0:13),104.42453402776121
31.0,62.0,44.0,Sandy,Barley,21,0,28,Gromor(28:28),60.126978143202216
35.0,67.0,28.0,Clayey,Pulses,8,7,31,Gromor(14:35:14),55.3223261781164
29.0,58.0,30.0,Red,Tobacco,13,17,16,Gromor(10:26:26),60.369352351258165
27.0,53.0,30.0,Black,Millets,35,0,0,Urea,64.90127463481079
36.0,68.0,50.0,Loamy,Wheat,12,18,19,Gromor(10:26:26),76.58859126033661
29.0,58.0,61.0,Loamy,Cotton,11,0,38,DAP,88.94483514398307
30.0,60.0,26.0,Black,Oil seeds,8,9,30,Gromor(14:35:14),61.79854321993646
34.0,65.0,45.0,Clayey,Paddy,6,19,21,Gromor(10:26:26),95.82201495575416
36.0,68.0,41.0,Red,Ground Nuts,41,0,0,Urea,75.61571590528402
28.0,54.0,25.0,Sandy,Maize,9,10,30,Gromor(14:35:14),41.28644400221051
25.0,50.0,32.0,Clayey,Pulses,24,0,19,Gromor(28:28),44.512109468558926
30.0,60.0,27.0,Red,Tobacco,4,17,17,Gromor(10:26:26),62.57797560088478
38.0,72.0,51.0,Loamy,Wheat,39,0,0,Urea,91.14066243327196
36.0,60.0,43.0,Sandy,Millets,15,0,41,DAP,66.90444548986288
29.0,58.0,57.0,Black,Sugarcane,12,0,10,Gromor(20:20:0:13),96.79794809481852
27.58,59.21,31.27,Loamy,Cotton,20,2,15,DAP,71.30207391481713
27.45,66.38,50.14,Black,Millets,9,12,14,Gromor(28:28),65.42846287232041
27.25,63.62,40.35,Black,Wheat,28,0,22,Urea,81.00356431304333
28.84,58.91,33.06,Clayey,Millets,8,9,28,N-P-K(17:17:17),60.794031357628256
25.86,48.46,46.25,Red,Ground Nuts,40,2,0,Gromor(28:28),63.24393365267811
25.59,63.6,46.33,Clayey,Cotton,11,0,11,Gromor(28:28),85.90973429929815
29.17,68.19,30.65,Sandy,Oil seeds,6,4,14,Urea,78.81626174484553
36.05,73.59,58.17,Red,Millets,9,14,11,N-P-K(17:17:17),68.6465053907143
26.76,64.22,53.63,Sandy,Ground Nuts,5,8,30,Gromor(28:28),71.94314701246097
27.66,53.58,40.96,Red,Cotton,41,0,3,Gromor(20:20:0:13),65.44057837678335
28.27,52.88,43.3,Black,Wheat,40,0,0,Gromor(10:26:26),73.03766388293216
38.39,69.51,65.09,Clayey,Oil seeds,8,1,16,Urea,114.28183524886502
28.74,56.8,54.07,Loamy,Cotton,15,0,35,DAP,85.49110684692603
30.63,63.88,38.71,Loamy,Paddy,19,4,28,DAP,89.67791358231271
26.02,52.46,31.12,Loamy,Barley,11,5,12,Gromor(10:26:26),69.96512441576714
34.71,64.94,52.62,Sandy,Oil seeds,9,22,21,Gromor(14:35:14),64.76043546101336
23.71,51.25,30.5,Black,Oil seeds,11,0,8,N-P-K(17:17:17),67.00623083182411
30.63,61.45,23.18,Black,Maize,37,2,4,N-P-K(17:17:17),53.728379284074784
23.63,52.62,31.03,Clayey,Sugarcane,12,13,13,Gromor(14:35:14),74.25805475561002
27.65,58.09,69.07,Clayey,Oil seeds,16,3,32,Gromor(10:26:26),87.69398858575369
31.19,60.94,30.51,Black,Paddy,12,0,36,Urea,111.3288175575351
37.12,72.87,47.06,Sandy,Tobacco,45,2,0,Urea,91.1920832392287
33.52,60.46,47.85,Black,Pulses,7,15,16,DAP,66.41821364990057
29.44,59.34,55.51,Loamy,Sugarcane,10,3,31,N-P-K(17:17:17),97.7297106491709
33.24,69.48,65.48,Clayey,Cotton,8,13,28,Gromor(10:26:26),90.01748310694566
20.85,53.18,43.77,Loamy,Tobacco,2,20,19,Urea,81.87215987191041
38.42,73.97,50.41,Loamy,Sugarcane,11,1,36,DAP,115.91179482808829
29.04,71.09,21.12,Sandy,Maize,34,0,3,Gromor(14:35:14),56.18870760781101
23.59,55.82,62.92,Red,Sugarcane,39,0,0,Urea,100.68746246497363
38.56,73.46,30.62,Black,Pulses,11,0,32,Gromor(28:28),64.8337787923744
30.87,63.94,46.2,Sandy,Cotton,15,0,8,Urea,82.17837229738413
25.83,51.1,59.57,Sandy,Maize,38,4,0,Urea,72.17565443278527
34.51,63.92,70.0,Loamy,Sugarcane,14,0,35,N-P-K(17:17:17),112.57578176588217
31.92,62.59,27.78,Sandy,Pulses,18,0,25,DAP,51.95622988163237
28.43,58.72,43.9,Sandy,Sugarcane,13,16,11,Gromor(20:20:0:13),72.63602563663254
27.53,55.04,57.07,Sandy,Pulses,4,0,14,Gromor(28:28),86.32115780574533
24.53,67.4,48.49,Red,Paddy,8,9,18,Gromor(20:20:0:13),87.15213202373766
30.82,51.91,54.23,Red,Wheat,15,4,33,Gromor(14:35:14),77.04436176246914
32.53,59.45,20.16,Loamy,Cotton,9,15,16,N-P-K(17:17:17),53.31098146757941
28.17,58.69,34.11,Sandy,Cotton,12,8,33,Gromor(20:20:0:13),49.57787301164463
29.25,54.52,41.4,Clayey,Paddy,35,0,0,Gromor(28:28),101.42340914249172
22.26,51.36,48.36,Loamy,Tobacco,6,16,17,Urea,93.05309822115261
30.76,66.64,56.32,Red,Ground Nuts,41,3,4,Gromor(28:28),73.35050482926522
27.84,66.53,36.89,Loamy,Sugarcane,7,11,20,Urea,96.9374693395262
29.21,64.21,54.95,Red,Wheat,7,11,31,Gromor(14:35:14),73.75596755706661
26.01,59.52,35.75,Loamy,Pulses,11,13,15,Gromor(28:28),54.048550983381155
29.5,55.42,51.17,Red,Cotton,23,0,23,Gromor(10:26:26),69.79556593134414
32.98,62.02,33.12,Red,Wheat,40,0,0,Gromor(10:26:26),67.12387590849157
24.24,59.04,50.07,Loamy,Barley,38,0,1,Urea,72.6052004423632
33.54,59.28,52.09,Clayey,Wheat,21,3,20,Gromor(20:20:0:13),84.77535000057257
34.43,72.28,62.22,Clayey,Ground Nuts,35,4,0,N-P-K(17:17:17),85.98391859400027
32.19,68.94,67.37,Sandy,Barley,15,0,33,Gromor(20:20:0:13),65.28301942353934
32.55,71.46,67.14,Clayey,Oil seeds,5,7,32,Gromor(20:20:0:13),81.27688114663448
28.38,52.02,43.83,Loamy,Wheat,13,0,38,Gromor(10:26:26),79.53512996078467
25.4,43.57,38.51,Red,Maize,36,0,0,Gromor(28:28),60.777205170448866
33.8,52.28,53.31,Clayey,Millets,12,15,15,Gromor(28:28),79.05942793012466
28.38,47.58,34.86,Black,Paddy,20,0,20,Gromor(28:28),99.96243111974323
28.37,59.8,35.35,Black,Oil seeds,23,2,16,N-P-K(17:17:17),54.84213364166763
30.08,73.84,41.22,Sandy,Sugarcane,1,14,22,Gromor(10:26:26),73.94143697762927
34.95,64.93,62.63,Clayey,Wheat,31,1,0,Gromor(14:35:14),99.08969614955092
35.56,74.88,52.16,Clayey,Cotton,20,0,21,Gromor(14:35:14),82.64783128754526
24.05,52.76,58.9,Sandy,Oil seeds,7,1,7,DAP,88.46357364718129
23.42,53.65,69.68,Sandy,Barley,11,3,14,Gromor(20:20:0:13),74.45545377590966
31.68,62.14,42.55,Black,Sugarcane,17,0,31,N-P-K(17:17:17),79.52417231465623
31.03,69.0,49.46,Loamy,Maize,19,0,19,Gromor(20:20:0:13),57.70842845841735
31.78,44.27,45.07,Loamy,Maize,5,8,32,DAP,69.3891864260746
22.3,60.64,40.78,Sandy,Ground Nuts,39,0,2,Gromor(28:28),59.832542800659155
26.39,52.62,22.27,Sandy,Cotton,8,1,43,N-P-K(17:17:17),58.84836207722103
29.36,64.39,20.0,Red,Tobacco,13,4,39,Gromor(10:26:26),53.27705812261814
26.67,47.94,34.08,Black,Sugarcane,13,0,8,DAP,90.64198528232876
26.75,56.87,20.0,Clayey,Barley,12,6,30,N-P-K(17:17:17),52.66275403924061
30.64,65.77,32.86,Clayey,Sugarcane,24,0,17,N-P-K(17:17:17),83.70295727630187
29.89,48.59,38.0,Clayey,Pulses,26,0,21,Gromor(28:28),63.96747856568474
28.61,62.22,41.53,Loamy,Ground Nuts,8,13,18,Urea,76.98721384809977
37.09,63.72,47.99,Red,Sugarcane,39,2,0,N-P-K(17:17:17),98.20022215775771
21.78,55.6,33.66,Loamy,Maize,37,3,0,Gromor(10:26:26),54.09531291858733
30.42,70.37,55.92,Red,Wheat,2,5,25,N-P-K(17:17:17),79.08916038274424
35.39,52.28,42.97,Sandy,Pulses,10,17,12,Gromor(10:26:26),60.05177453604887
30.53,52.17,41.92,Black,Oil seeds,3,15,15,Urea,81.31021643506534
28.09,56.62,36.14,Loamy,Ground Nuts,10,0,34,Gromor(20:20:0:13),60.30948838793229
22.95,55.86,31.58,Black,Paddy,16,3,22,Gromor(28:28),76.42528971886236
32.06,75.56,55.73,Sandy,Tobacco,18,1,38,N-P-K(17:17:17),84.14557781234771
38.4,67.88,62.06,Clayey,Maize,11,11,16,Gromor(28:28),96.53411330951529
33.59,66.16,69.67,Sandy,Pulses,12,13,27,Gromor(20:20:0:13),69.44428953961581
26.47,62.91,46.87,Sandy,Ground Nuts,10,4,11,Gromor(28:28),67.28493696097645
31.56,58.25,29.12,Loamy,Oil seeds,13,21,14,Gromor(14:35:14),52.316406843371475
29.13,56.72,67.72,Clayey,Ground Nuts,8,13,32,N-P-K(17:17:17),67.74574722301071
23.35,59.98,63.83,Black,Oil seeds,36,4,0,Gromor(14:35:14),75.94750424257886
26.75,58.1,39.27,Clayey,Maize,19,0,20,Gromor(14:35:14),72.81638791149703
30.42,48.76,42.28,Red,Millets,41,0,1,N-P-K(17:17:17),59.345078800737056
24.9,51.02,31.9,Loamy,Ground Nuts,14,13,8,N-P-K(17:17:17),65.60112737387253
27.31,57.3,22.41,Loamy,Wheat,34,1,0,Urea,75.32287528569628
31.5,74.7,23.25,Clayey,Ground Nuts,8,1,9,DAP,71.25373737976972
27.63,69.25,41.18,Loamy,Millets,19,0,26,DAP,64.09359630116177
22.59,45.7,33.13,Black,Maize,38,0,4,Gromor(14:35:14),56.29462229368237
35.97,60.1,26.8,Black,Tobacco,11,2,40,Gromor(20:20:0:13),62.67597131066782
27.69,55.55,27.9,Red,Sugarcane,26,2,22,Gromor(20:20:0:13),63.1463268961902
24.27,52.43,62.34,Loamy,Millets,6,1,14,DAP,97.25707973122618
30.42,50.01,26.27,Black,Ground Nuts,9,3,11,Gromor(28:28),65.82178923472813
31.52,44.64,42.86,Red,Barley,13,0,35,Gromor(28:28),55.456489078825165
30.64,57.57,46.45,Red,Wheat,12,4,13,Gromor(20:20:0:13),70.26899149817154
22.17,47.78,43.03,Clayey,Paddy,15,0,16,Gromor(28:28),99.80924699925309
36.5,65.85,42.33,Loamy,Maize,5,10,32,Gromor(10:26:26),62.57887486608759
35.13,65.69,37.76,Black,Maize,8,4,6,Gromor(28:28),79.90237573214453
24.82,53.75,47.97,Black,Ground Nuts,6,14,10,DAP,65.492704568384
31.24,55.88,37.05,Sandy,Oil seeds,6,0,9,Urea,81.16629459380793
29.77,46.18,63.79,Loamy,Cotton,5,3,14,Gromor(10:26:26),94.34168344475842
25.86,46.65,32.67,Clayey,Oil seeds,35,0,0,N-P-K(17:17:17),56.0627641954012
30.15,60.77,42.93,Clayey,Cotton,44,0,0,Urea,87.1817069272904
29.46,59.4,49.1,Clayey,Ground Nuts,10,0,12,Gromor(28:28),84.32930020682242
29.37,64.45,64.66,Black,Cotton,38,0,0,Gromor(10:26:26),78.28044757212047
23.63,58.75,35.6,Red,Oil seeds,19,0,18,Gromor(28:28),69.07429536563927
32.45,60.24,55.92,Sandy,Millets,10,5,31,Gromor(28:28),65.50653234582587
37.34,63.39,25.36,Red,Paddy,15,4,39,Gromor(14:35:14),86.1878642738613
30.41,67.24,65.58,Loamy,Cotton,3,8,34,N-P-K(17:17:17),86.72617435266308
31.9,55.45,59.87,Sandy,Barley,12,0,37,Gromor(14:35:14),65.49082751396504
35.85,52.79,54.13,Clayey,Cotton,16,13,16,N-P-K(17:17:17),88.05811254647284
28.87,49.91,35.02,Red,Pulses,20,0,23,Gromor(10:26:26),49.16864885366998
26.33,50.2,45.34,Clayey,Oil seeds,9,19,18,Gromor(10:26:26),62.54969895269136
29.67,58.75,40.69,Sandy,Sugarcane,35,0,0,Urea,92.17107198570928
32.2,50.72,39.63,Clayey,Ground Nuts,23,0,15,Gromor(28:28),70.39145761036336
29.24,62.15,51.65,Black,Millets,6,0,41,Gromor(10:26:26),70.85449076354371
34.15,71.16,41.7,Red,Paddy,37,0,1,Urea,103.39098060243431
31.56,55.15,56.8,Red,Barley,9,0,35,DAP,83.39981743324861
24.76,56.88,20.0,Clayey,Oil seeds,9,0,36,Gromor(10:26:26),54.176095337426865
34.15,63.96,47.64,Red,Barley,11,0,14,Gromor(14:35:14),84.49363576760841
30.7,57.71,38.36,Sandy,Wheat,9,4,18,Gromor(28:28),60.71274032949586
34.89,53.79,37.58,Red,Ground Nuts,23,2,22,Urea,66.43601784784255
26.7,63.42,24.65,Sandy,Cotton,13,1,42,N-P-K(17:17:17),48.181243272977866
23.75,61.43,52.94,Black,Ground Nuts,37,0,0,DAP,76.42980220043293
25.73,52.9,46.14,Red,Cotton,21,0,18,Gromor(20:20:0:13),59.90135174167732
25.36,50.91,24.39,Loamy,Wheat,13,0,10,Gromor(20:20:0:13),67.81996911634404
36.35,61.89,65.38,Black,Sugarcane,39,0,0,DAP,127.89827083430657
21.91,46.66,45.27,Black,Millets,24,0,21,Gromor(14:35:14),61.18564709584372
26.44,65.84,50.2,Clayey,Pulses,10,0,9,Gromor(28:28),85.37240912958606
28.93,50.28,20.33,Red,Wheat,8,0,12,Urea,81.13404027522185
30.06,53.68,70.0,Sandy,Maize,7,6,34,Gromor(20:20:0:13),69.9526894667897
35.29,64.13,46.59,Clayey,Pulses,16,13,13,Gromor(14:35:14),68.350214670632
24.61,63.9,70.0,Loamy,Pulses,41,2,0,DAP,75.63841658439235
29.38,60.44,45.57,Clayey,Millets,19,0,22,Gromor(14:35:14),65.58484120684047
30.2,51.16,32.5,Red,Barley,20,0,19,DAP,59.75751151250846
32.46,68.2,64.77,Sandy,Sugarcane,11,0,9,Gromor(14:35:14),112.47597041582479
24.26,53.19,67.73,Clayey,Oil seeds,34,0,4,DAP,86.82521247914757
37.9,75.51,25.35,Clayey,Ground Nuts,11,0,35,DAP,71.24631265853975
31.1,55.48,46.43,Sandy,Cotton,34,0,2,Urea,75.55663280258793
31.75,62.4,34.97,Black,Wheat,17,0,15,Urea,93.60750918275626
27.29,57.56,53.09,Black,Pulses,15,11,11,Gromor(20:20:0:13),69.47341186212181
26.71,55.89,69.87,Loamy,Paddy,15,0,40,Gromor(14:35:14),113.18357988317966
29.25,56.07,33.6,Black,Oil seeds,21,0,18,DAP,69.20840668420094
29.73,58.67,29.64,Red,Barley,17,0,20,N-P-K(17:17:17),59.36768901894581
31.62,57.88,42.77,Clayey,Oil seeds,10,12,18,Gromor(14:35:14),59.21522030432324
25.93,54.07,23.84,Loamy,Maize,8,13,12,Gromor(14:35:14),52.376791345015754
26.47,55.37,59.34,Sandy,Maize,11,1,12,Gromor(20:20:0:13),78.57877543706192
21.92,53.0,33.57,Black,Barley,18,0,42,N-P-K(17:17:17),55.35658110750221
24.35,58.11,34.04,Clayey,Oil seeds,4,0,10,Gromor(28:28),76.14531558548995
29.55,45.99,50.06,Red,Sugarcane,9,4,10,Gromor(10:26:26),85.86648178317277
28.29,60.24,33.44,Black,Pulses,33,0,2,DAP,67.56206263753428
31.31,73.26,70.0,Loamy,Pulses,11,2,41,Gromor(14:35:14),83.11241011005941
30.05,58.21,23.31,Loamy,Cotton,43,0,0,N-P-K(17:17:17),57.87698097935896
31.27,62.18,32.06,Sandy,Paddy,21,4,24,Gromor(14:35:14),77.26896073716492
32.51,61.45,70.0,Loamy,Ground Nuts,10,1,32,Urea,93.35459169491874
23.98,44.94,20.0,Sandy,Oil seeds,14,11,13,Gromor(28:28),61.83934811036235
30.28,69.29,53.16,Sandy,Tobacco,39,1,2,Gromor(10:26:26),76.74153227640417
28.02,54.85,55.71,Sandy,Sugarcane,10,9,18,Gromor(20:20:0:13),78.58923053632016
28.66,56.26,39.29,Black,Sugarcane,37,0,1,DAP,88.92401639292207
30.85,70.39,29.35,Black,Millets,22,0,26,Gromor(10:26:26),51.37891139561434
24.51,62.55,65.83,Loamy,Pulses,13,4,5,Urea,85.32379832745056
22.33,56.84,29.98,Black,Ground Nuts,18,4,23,Gromor(14:35:14),57.310069529041286
29.75,55.39,28.42,Sandy,Tobacco,42,1,4,Gromor(14:35:14),57.123360051422196
28.27,52.86,22.36,Clayey,Ground Nuts,41,0,2,Gromor(10:26:26),61.19304849850335
33.27,67.2,40.49,Loamy,Paddy,17,0,12,Gromor(10:26:26),85.28872185865221
38.53,70.2,28.94,Loamy,Millets,10,0,32,N-P-K(17:17:17),51.0299505330262
25.2,60.02,69.92,Sandy,Oil seeds,8,14,31,Gromor(20:20:0:13),58.026525135578595
23.66,55.66,31.32,Red,Wheat,38,0,2,Gromor(20:20:0:13),61.392470099003994
35.01,71.58,39.2,Black,Wheat,9,0,16,Gromor(14:35:14),87.88990694569347
36.92,69.78,32.64,Clayey,Maize,12,2,31,Gromor(14:35:14),60.50960710087153
23.74,47.23,43.64,Red,Tobacco,18,0,19,Gromor(10:26:26),77.88397696580994
30.51,48.99,28.68,Black,Tobacco,6,0,11,Gromor(14:35:14),86.50327899051355
27.02,68.83,33.05,Black,Tobacco,0,16,19,Urea,94.5845371324662
27.77,42.89,59.1,Red,Barley,6,2,13,Urea,95.72860279350321
39.65,63.55,47.33,Red,Cotton,3,12,30,Urea,84.99855617160064
37.27,64.08,36.28,Red,Barley,15,4,45,Gromor(20:20:0:13),47.391635529247694
27.93,64.17,62.13,Black,Pulses,7,0,6,Gromor(20:20:0:13),77.94764072928342
29.95,61.75,36.58,Black,Sugarcane,37,0,0,Gromor(28:28),83.24889017235346
24.97,59.24,47.46,Sandy,Paddy,26,0,21,Gromor(20:20:0:13),67.22343844850279
27.68,61.68,59.47,Clayey,Paddy,18,0,36,N-P-K(17:17:17),105.90690885864095
23.82,47.74,30.62,Black,Cotton,2,20,12,N-P-K(17:17:17),67.80176609483377
34.57,69.61,57.23,Clayey,Pulses,38,0,0,DAP,79.86409457864029
35.1,70.14,56.12,Loamy,Pulses,16,0,44,Gromor(20:20:0:13),62.23935574637948
33.71,59.42,29.32,Black,Barley,16,0,38,Gromor(14:35:14),60.6535067898005
24.75,45.31,49.7,Clayey,Cotton,23,0,23,Gromor(10:26:26),68.96176531122555
37.36,59.64,53.7,Loamy,Millets,3,12,31,Gromor(10:26:26),71.470887212705
32.22,56.29,48.76,Black,Maize,35,0,2,Gromor(10:26:26),62.77507793411369
32.35,48.81,46.33,Loamy,Paddy,31,3,0,Gromor(20:20:0:13),95.0608289374836
40.0,80.0,59.99,Clayey,Cotton,42,0,0,Gromor(10:26:26),78.50555321615401
25.85,62.32,48.82,Red,Cotton,33,3,0,DAP,70.92474071841255
30.61,66.36,42.09,Red,Barley,8,22,18,DAP,69.18005882947419
34.51,54.79,54.12,Loamy,Maize,5,6,26,Gromor(28:28),91.55013924547023
29.66,43.74,43.31,Red,Paddy,35,3,2,Gromor(20:20:0:13),81.84027974398825
31.75,46.82,37.35,Red,Maize,16,0,15,DAP,70.14783272733648
25.43,68.65,39.28,Red,Oil seeds,20,0,17,Gromor(10:26:26),55.46649918301546
30.97,58.53,29.79,Loamy,Wheat,10,21,13,N-P-K(17:17:17),72.38652340513696
28.58,71.66,46.04,Red,Oil seeds,10,12,9,Gromor(10:26:26),58.29238071013882
29.87,63.64,61.4,Black,Wheat,15,16,10,Gromor(20:20:0:13),81.7902727879964
25.09,54.56,34.08,Red,Maize,19,0,21,Gromor(28:28),59.07618232896856
29.76,45.13,30.91,Red,Cotton,35,2,0,DAP,74.35611582079343
31.38,69.36,35.4,Black,Tobacco,35,3,0,Urea,95.57765715012411
36.7,70.28,23.31,Sandy,Ground Nuts,37,0,0,Gromor(10:26:26),44.41693518861186
26.91,44.27,23.76,Loamy,Barley,18,0,45,Gromor(10:26:26),56.86510445271758
30.83,53.08,47.02,Black,Oil seeds,7,0,5,DAP,88.8572421191203
31.98,55.89,57.6,Red,Barley,37,4,0,N-P-K(17:17:17),70.18886724141561
